fill,nbx,lumi pb-1,ilumi fb-1,run1,Era,Notes
7145,2544,409.906,144.843,322625,,
7211,62,4.012,145.253,323363,,
7212,590,70.232,145.257,323388,,
7213,1214,128.0942,145.327,323413,,
7217,2544,398.455,145.455,323470,,
7218,2544,451.006,145.854,323487,,
7220,9,0.186,146.305,323513,,
7221,2544,521.843,146.305,323523,,
7234,2544,496.98,146.827,323693,,
7236,2544,412.953,147.324,323725,,
7239,2544,313.889,147.737,323755,,
7240,2544,337.408,148.050,323775,,
7242,2544,313.439,148.388,323790,,
7245,2544,268.758,148.701,323841,,
7252,2544,471.94,148.970,323940,,
7253,2544,328.523,149.442,323976,,
7256,2544,408.476,149.770,324021,,
7259,2544,461.98,150.179,324077,,
7264,2544,501.403,150.641,324201,,
7265,2544,79.706,151.142,324237,,
7266,2544,437.921,151.222,324245,,
7270,2544,537.348,151.660,324293,,
7271,2544,195.995,152.197,324313,,
7274,2544,251.94,152.393,324418,,First mu scan
7299,150,0.016,152.645,324564,,
7300,150,0.014,152.645,324571,,
7304,62,0.187,152.645,324612,,
7308,590,31.589,152.645,324725,,
7309,2544,533.421,152.677,324747,,
7310,2544,452.34,153.210,324785,,
7314,2544,546.804,153.663,324835,,
7315,2544,423.994,154.210,324878,,
7317,2544,54.227,154.634,324897,,
7320,2544,545.783,154.688,324968,,Second mu scan
7321,2544,550.832,155.234,324980,,
7324,2544,412.644,155.784,324997,,
7328,2544,452.292,156.197,325022,,
7331,2544,127.926,156.649,325057,,
7333,2544,559.946,156.777,325097,,
7334,2544,449.929,157.337,325159,,
7358,26,3.569,157.787,325308,2018 pp end,High-pileup MD including mu scan
